store,category,brand,model_name,variant,ram,storage,price,price_text,currency,product_url,source_url,in_stock,scraped_at
GadgetByte Nepal,Mobiles,Vivo,Vivo Y500,8GB/128GB,8GB,128GB,54999,"Rs. 54,999",NPR,https://www.gadgetbytenepal.com/vivo-y500-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.912289+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo Y500,8GB/256GB,8GB,256GB,61999,"Rs. 61,999",NPR,https://www.gadgetbytenepal.com/vivo-y500-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.912398+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo V70 FE,8GB/256GB,8GB,256GB,62999,"Rs. 62,999",NPR,https://www.gadgetbytenepal.com/vivo-v70-fe-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.912514+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo V70 FE,12GB/256GB,12GB,256GB,72999,"Rs. 72,999",NPR,https://www.gadgetbytenepal.com/vivo-v70-fe-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.912621+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo V60 5G,12GB/256GB,12GB,256GB,74999,"Rs. 74,999",NPR,https://www.gadgetbytenepal.com/vivo-v60-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.912739+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo V60 5G,12GB/512GB,12GB,512GB,79999,"Rs. 79,999",NPR,https://www.gadgetbytenepal.com/vivo-v60-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.912845+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo V70 5G,8GB/256GB,8GB,256GB,84999,"Rs. 84,999",NPR,https://www.gadgetbytenepal.com/vivo-v70-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.912957+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo V70 5G,12GB/256GB,12GB,256GB,102999,"Rs. 102,999",NPR,https://www.gadgetbytenepal.com/vivo-v70-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.913086+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo V70 5G,12GB/512GB,12GB,512GB,122999,"Rs. 122,999",NPR,https://www.gadgetbytenepal.com/vivo-v70-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.913196+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo X300 Pro,16GB/512GB,16GB,512GB,179999,"Rs. 179,999",NPR,https://www.gadgetbytenepal.com/vivo-x300-pro-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.913308+00:00
GadgetByte Nepal,Mobiles,Poco,POCO X7 Pro,12GB/512GB,12GB,512GB,59999,"Rs. 59,999 (12/512GB)",NPR,https://www.gadgetbytenepal.com/poco-x7-pro-price-nepal/,https://www.gadgetbytenepal.com/poco-phones-price-nepal/,,2026-07-03T02:26:31.532223+00:00
GadgetByte Nepal,Mobiles,Poco,POCO X8 Pro,8GB/256GB,8GB,256GB,63999,"Rs. 63,999 (8/256)",NPR,https://www.gadgetbytenepal.com/poco-x8-pro-price-nepal/,https://www.gadgetbytenepal.com/poco-phones-price-nepal/,,2026-07-03T02:26:31.532493+00:00
GadgetByte Nepal,Mobiles,Poco,POCO X8 Pro,8GB/512GB,8GB,512GB,73999,"Rs. 73,999 (8/512)",NPR,https://www.gadgetbytenepal.com/poco-x8-pro-price-nepal/,https://www.gadgetbytenepal.com/poco-phones-price-nepal/,,2026-07-03T02:26:31.532638+00:00
GadgetByte Nepal,Mobiles,Poco,POCO F7,12GB/512GB,12GB,512GB,69999,"Rs. 69,999 (12/512GB)",NPR,https://www.gadgetbytenepal.com/poco-f7-price-nepal/,https://www.gadgetbytenepal.com/poco-phones-price-nepal/,,2026-07-03T02:26:31.532772+00:00
GadgetByte Nepal,Mobiles,Poco,POCO X8 Pro Max,12GB/256GB,12GB,256GB,79999,"Rs. 79,999 (12/256)",NPR,https://www.gadgetbytenepal.com/poco-x8-pro-max-price-nepal/,https://www.gadgetbytenepal.com/poco-phones-price-nepal/,,2026-07-03T02:26:31.532890+00:00
GadgetByte Nepal,Mobiles,Poco,POCO X8 Pro Max,12GB/512GB,12GB,512GB,89999,"Rs. 89,999 (12/512)",NPR,https://www.gadgetbytenepal.com/poco-x8-pro-max-price-nepal/,https://www.gadgetbytenepal.com/poco-phones-price-nepal/,,2026-07-03T02:26:31.533000+00:00
