store,category,brand,model_name,variant,ram,storage,price,price_text,price_type,currency,product_url,source_url,in_stock,scraped_at
Hukut,Mobiles,Oppo,OPPO Reno 14F,,,,57999,"Rs. 57,999",starting,NPR,https://hukut.com/oppo-reno14-f,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.272311+00:00
Hukut,Mobiles,Oppo,OPPO Reno 15,,,,89999,"Rs. 89,999",starting,NPR,https://hukut.com/oppo-reno-15,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.272513+00:00
Hukut,Mobiles,Oppo,OPPO Find N5,,,,249999,"Rs. 249,999",starting,NPR,https://hukut.com/oppo-find-n5,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.272628+00:00
Hukut,Mobiles,Infinix,Infinix Smart 10,,,,14999,"Rs. 14,999",starting,NPR,https://hukut.com/infinix-smart-10,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.273301+00:00
Hukut,Mobiles,Infinix,Infinix Hot 60i,,,,16999,"Rs. 16,999",starting,NPR,https://hukut.com/infinix-hot-60i,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.273483+00:00
Hukut,Mobiles,Infinix,Infinix Hot 60 Pro,,,,24999,"Rs. 24,999",starting,NPR,https://hukut.com/infinix-hot-60-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.273588+00:00
Hukut,Mobiles,Infinix,Infinix Hot 60 Pro+,,,,29999,"Rs. 29,999",starting,NPR,https://hukut.com/infinix-hot-60-pro+,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.273693+00:00
Hukut,Mobiles,Infinix,Infinix Note 50s,,,,35999,"Rs. 35,999",starting,NPR,https://hukut.com/infinix-note-50s,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.273800+00:00
Hukut,Mobiles,Infinix,Infinix GT 30,,,,36999,"Rs. 36,999",starting,NPR,https://hukut.com/infinix-gt-30,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.273902+00:00
Hukut,Mobiles,Infinix,Infinix GT 30 Pro,,,,47999,"Rs. 47,999",starting,NPR,https://hukut.com/infinix-gt-30-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.274006+00:00
Hukut,Mobiles,Infinix,Infinix Note Edge,,,,41999,"Rs. 41,999",starting,NPR,https://hukut.com/infinix-note-edge,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.274111+00:00
Hukut,Mobiles,Infinix,Infinix Note 60,,,,45999,"Rs. 45,999",starting,NPR,https://hukut.com/infinix-note-60,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.274418+00:00
